states,flag,Avg0,SD0,frust0,time
'1111000',1,0.14676666666666668,0.00047140452079103207,0.19911324599181793,18.562921788698162
'1000101',1,0.08053333333333333,0.0032169688977186093,0.20831868454692737,23.264016151772058
'1000011',1,0.06396666666666667,0.0014727148022916318,0.22517011695187822,23.879500421673058
'1011100',1,0.17853333333333335,0.0018926759422104493,0.19259264714621505,20.849425003428333
'0100011',1,0.1730333333333333,0.0006944222218666517,0.19259264714621505,20.77107393940547
'0000111',1,0.1442,0.0039673668849754705,0.19911324599181793,18.615153458193202
'1010101',1,0.03333333333333333,0.002185304453744502,0.20519411625880138,6.144566211301264
'0111010',1,0.0825,0.0016391054470858955,0.20831868454692737,23.186162174403464
'0111100',1,0.06416666666666666,0.002131248981752772,0.22517011695187822,24.724111207747494
'0101010',1,0.032966666666666665,0.0010402991022884808,0.20519411625880138,6.685786293478601
