Output_node,Output_values,EMBF,Out_bin,Status
y0,"[-1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1 -1 -1 -1  1 -1  1  1  1
 -1  1  1  1  1  1  1  1 -1 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1  1  1
 -1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]",0,0000000100010111000101110111111100010111011111110111111111111111,Essential Monotone Boolean Function
y0,"[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1  1
 -1 -1 -1  1 -1  1  1  1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1
 -1 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1  1  1]",0,0000000000000001000000010001011100000001000101110001011101111111,Essential Monotone Boolean Function
y1,"[-1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1 -1 -1 -1  1 -1  1  1  1
 -1  1  1  1  1  1  1  1 -1 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1  1  1
 -1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]",0,0000000100010111000101110111111100010111011111110111111111111111,Essential Monotone Boolean Function
y1,"[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1  1
 -1 -1 -1  1 -1  1  1  1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1
 -1 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1  1  1]",0,0000000000000001000000010001011100000001000101110001011101111111,Essential Monotone Boolean Function
y2,"[-1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1 -1 -1 -1  1 -1  1  1  1
 -1  1  1  1  1  1  1  1 -1 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1  1  1
 -1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]",0,0000000100010111000101110111111100010111011111110111111111111111,Essential Monotone Boolean Function
y2,"[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1  1
 -1 -1 -1  1 -1  1  1  1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1
 -1 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1  1  1]",0,0000000000000001000000010001011100000001000101110001011101111111,Essential Monotone Boolean Function
y3,"[-1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1 -1 -1 -1  1 -1  1  1  1
 -1  1  1  1  1  1  1  1 -1 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1  1  1
 -1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]",0,0000000100010111000101110111111100010111011111110111111111111111,Essential Monotone Boolean Function
y3,"[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1  1
 -1 -1 -1  1 -1  1  1  1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1
 -1 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1  1  1]",0,0000000000000001000000010001011100000001000101110001011101111111,Essential Monotone Boolean Function
y4,"[-1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1 -1 -1 -1  1 -1  1  1  1
 -1  1  1  1  1  1  1  1 -1 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1  1  1
 -1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]",0,0000000100010111000101110111111100010111011111110111111111111111,Essential Monotone Boolean Function
y4,"[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1  1
 -1 -1 -1  1 -1  1  1  1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1
 -1 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1  1  1]",0,0000000000000001000000010001011100000001000101110001011101111111,Essential Monotone Boolean Function
y5,"[-1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1 -1 -1 -1  1 -1  1  1  1
 -1  1  1  1  1  1  1  1 -1 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1  1  1
 -1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]",0,0000000100010111000101110111111100010111011111110111111111111111,Essential Monotone Boolean Function
y5,"[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1  1
 -1 -1 -1  1 -1  1  1  1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1
 -1 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1  1  1]",0,0000000000000001000000010001011100000001000101110001011101111111,Essential Monotone Boolean Function
y6,"[-1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1 -1 -1 -1  1 -1  1  1  1
 -1  1  1  1  1  1  1  1 -1 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1  1  1
 -1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]",0,0000000100010111000101110111111100010111011111110111111111111111,Essential Monotone Boolean Function
y6,"[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1  1
 -1 -1 -1  1 -1  1  1  1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1  1 -1  1  1  1
 -1 -1 -1  1 -1  1  1  1 -1  1  1  1  1  1  1  1]",0,0000000000000001000000010001011100000001000101110001011101111111,Essential Monotone Boolean Function
