states,flag,Avg0,SD0,frust0,time
'100011',0,0.027733333333333336,0.0008471258597293691,0.21713239293191097,1000.0
'010100',0,0.04355,0.0003849675310984021,0.2193933008506556,1000.0
'010011',0,0.019916666666666666,0.0006287730556850821,0.22607940378882688,1000.0
'111001',0,0.03033,0.0004984643083177226,0.2137347013051606,1000.0
'111100',0,0.0163,0.00038755644750152233,0.23406960740350188,1000.0
'110010',0,0.03683666666666666,0.0003403266404826704,0.19889870066356055,1000.0
'101010',0,0.03757666666666667,0.00046312945154556006,0.19000039774730448,1000.0
'010110',0,0.020839999999999997,0.0004678318786344796,0.1996746521294662,1000.0
'110100',0,0.036893333333333334,0.0002870927066684587,0.21782798981367357,1000.0
'010001',0,0.018909999999999996,0.00025664502073226904,0.2185330146429804,1000.0
'011100',0,0.028113333333333334,0.0007519012937583992,0.21713239293191097,1000.0
'001011',0,0.036950000000000004,0.00026419689627245644,0.21782798981367357,1000.0
'111010',0,0.03959666666666667,0.00046456670373824983,0.21288301965402864,1000.0
'101110',0,0.01881,0.00030692018506445494,0.2185330146429804,1000.0
'100110',0,0.03583666666666666,0.0005792715732327613,0.2056945627076222,1000.0
'101001',0,0.020986666666666664,0.00020821996915655226,0.1996746521294662,1000.0
'000110',0,0.030023333333333332,0.000207257220756131,0.2137347013051606,1000.0
'101011',0,0.04325333333333333,0.00034451253807211334,0.2193933008506556,1000.0
'111000',0,0.031273333333333334,0.0007314521325570286,0.20372490375144778,1000.0
'000101',0,0.03950666666666666,0.00048814842915745235,0.21288301965402864,1000.0
'011001',0,0.03696666666666667,0.0004187547678003879,0.2056945627076222,1000.0
'010111',0,0.00812,0.0002164871050817275,0.24845043103485448,1000.0
'010101',0,0.03802333333333333,0.0004320750963535039,0.19000039774730448,1000.0
'001101',0,0.03650333333333333,0.0004317663977456112,0.19889870066356055,1000.0
'101101',0,0.01147,0.0006103004724450627,0.23054601635008837,1000.0
'100101',0,0.014413333333333334,0.0002666249967442827,0.22602780983198356,1000.0
'100001',0,0.007966666666666665,0.00020270394394014313,0.24361306617308065,1000.0
'001110',0,0.031670000000000004,0.0002654555832275272,0.20807062773194582,1000.0
'000111',0,0.03146666666666667,0.0006468556424908293,0.20372490375144778,1000.0
'100010',0,0.008913333333333334,0.00017632041540584253,0.22561856637366562,1000.0
'110001',0,0.03202,0.000308652987457868,0.20807062773194582,1000.0
'110110',0,0.0054533333333333335,0.00024499433100017297,0.23169042789559877,1000.0
'001001',0,0.00509,0.00022759613353482084,0.23169042789559877,1000.0
'011011',0,0.00925,0.0004809019304043875,0.25944027381582785,1000.0
'101000',0,0.008033333333333332,0.00032499572646762896,0.24845043103485448,1000.0
'011010',0,0.014276666666666667,0.000359382185918495,0.22602780983198356,1000.0
'101100',0,0.019863333333333334,0.00046549853800939957,0.22607940378882688,1000.0
'000011',0,0.015663333333333335,0.00033767176699010863,0.23406960740350188,1000.0
'011110',0,0.007656666666666667,7.760297817881881e-5,0.24361306617308065,1000.0
'011101',0,0.009103333333333333,0.0002490426112580377,0.22561856637366562,1000.0
'100100',0,0.009536666666666666,0.00042967688118192017,0.25944027381582785,1000.0
'010010',0,0.011523333333333335,0.0002922708028904401,0.23054601635008837,1000.0
'110011',0,0.007153333333333334,0.00017613126418163883,0.24919810368090692,1000.0
'001100',0,0.006626666666666667,0.00019938795238317567,0.24919810368090692,1000.0
