states,flag,Avg0,SD0,frust0,time
'110010',0,0.010966666666666666,0.0003091206165165237,0.2672375022829551,1000.0
'010001',0,0.007799999999999999,0.0004242640687119284,0.305300720957173,1000.0
'001110',0,0.08109999999999999,0.0013952299690970903,0.22546691107953423,1000.0
'111001',0,0.024933333333333335,0.001014341603646863,0.30178215168837685,1000.0
'100001',0,0.029800000000000004,0.0014306175822583302,0.2460430829973913,1000.0
'100110',0,0.014199999999999999,0.000535412613473634,0.2767035486827645,1000.0
'100011',0,0.0438,0.0007788880963698612,0.25120876735474745,1000.0
'011010',0,0.09770000000000001,0.0011775681155103788,0.2095710297732243,1000.0
'100100',0,0.013533333333333333,0.0003299831645537216,0.28280211416765133,1000.0
'110001',0,0.0808,0.0042551929059287865,0.22546691107953423,1000.0
'011000',0,0.025899999999999996,0.0015577761927397234,0.26723885746489284,1000.0
'000011',0,0.019266666666666665,0.0010656244908763847,0.2849357596265838,1000.0
'111110',0,0.0014666666666666665,0.00020548046676563257,0.37457871506404966,1000.0
'001111',0,0.011500000000000002,0.0003741657386773946,0.26719858214807135,1000.0
'110101',0,0.006666666666666667,0.0002054804667656324,0.2690608162951359,1000.0
'010110',0,0.019966666666666664,0.0007408703590297627,0.3026702347716212,1000.0
'100101',0,0.09746666666666666,0.00044969125210773627,0.2095710297732243,1000.0
'101110',0,0.007533333333333334,0.00038586123009300773,0.305300720957173,1000.0
'110000',0,0.010933333333333331,0.0007408703590297616,0.26719858214807135,1000.0
'111100',0,0.0195,0.0010801234497346444,0.2849357596265838,1000.0
'101011',0,0.005233333333333333,0.0005185449728701349,0.34493781109724686,1000.0
'011110',0,0.028233333333333333,0.001798765008430938,0.2460430829973913,1000.0
'000101',0,0.0067,0.00028284271247461934,0.3018621193585998,1000.0
'011100',0,0.04066666666666666,0.00032998316455372183,0.25120876735474745,1000.0
'100111',0,0.0262,0.001186029791643813,0.26723885746489284,1000.0
'101001',0,0.01916666666666667,0.0008730533902472536,0.3026702347716212,1000.0
'101010',0,0.006233333333333334,0.0004784233364802442,0.31265008369149183,1000.0
'110100',0,0.0104,0.00021602468994692817,0.2737523904858322,1000.0
'010101',0,0.005933333333333333,0.00016996731711975955,0.31265008369149183,1000.0
'010010',0,0.015066666666666667,0.0010873004286866728,0.2798588255808306,1000.0
'000110',0,0.022466666666666666,0.001040299102288482,0.30178215168837685,1000.0
'101100',0,0.014233333333333334,0.0006018490028422597,0.2742973944737902,1000.0
'111010',0,0.0076,0.0012675435561221031,0.3018621193585998,1000.0
'000111',0,0.023033333333333333,0.001228368384845886,0.2647213072554464,1000.0
'101101',0,0.014833333333333332,0.00038586123009300735,0.2798588255808306,1000.0
'011001',0,0.014466666666666668,0.0013097921802925666,0.2767035486827645,1000.0
'111000',0,0.021733333333333337,0.0012657891697365016,0.2647213072554464,1000.0
'001001',0,0.0092,0.001283225103661344,0.32629345395502846,1000.0
'011011',0,0.012466666666666668,0.0013888444437333107,0.28280211416765133,1000.0
'010011',0,0.014600000000000002,0.0004242640687119284,0.2742973944737902,1000.0
'001101',0,0.012533333333333334,0.001249888883950178,0.2672375022829551,1000.0
'010100',0,0.0055000000000000005,0.000535412613473634,0.34493781109724686,1000.0
'001010',0,0.0062,0.0012832251036613439,0.2690608162951359,1000.0
'001011',0,0.010833333333333334,0.00040276819911981907,0.2737523904858322,1000.0
'100010',0,0.0016,0.0004082482904638629,0.29771355545045997,1000.0
'000001',0,0.0018333333333333333,0.00046427960923947067,0.37457871506404966,1000.0
'110110',0,0.007966666666666665,0.0006847546194724712,0.32629345395502846,1000.0
'001100',0,0.0030666666666666668,0.00020548046676563254,0.2892722243909734,1000.0
'101111',0,0.0011333333333333334,0.00026246692913372703,0.3746285452407689,1000.0
'110011',0,0.003766666666666667,0.000524933858267454,0.2892722243909734,1000.0
'011101',0,0.0012333333333333332,0.00024944382578492944,0.29771355545045997,1000.0
'010000',0,0.0010333333333333334,0.0002357022603955158,0.3746285452407689,1000.0
