states,flag,Avg0,SD0,frust0,time
'01001',1,0.04987,0.00043289721643826847,0.4,2.2764961228066816
'11001',1,0.04994333333333334,0.0002509094568874508,0.4,2.2540552552442708
'01010',1,0.050393333333333325,0.0005968993959528601,0.4,2.2620890068089152
'10101',1,0.04932,0.00044922154890432453,0.4,2.2671263445135317
'00110',1,0.05013,0.0008436033823229162,0.4,2.254431045604092
'10010',1,0.05009666666666667,0.0003179447890576122,0.4,2.260044937089212
'11010',1,0.04936666666666666,0.0004161196409153941,0.4,2.2604391199018363
'01011',1,0.04994333333333333,0.0007325450308494517,0.4,2.2608600513918713
'11100',1,0.05002,0.0009777866161216717,0.4,2.266067395356343
'01110',1,0.050396666666666666,0.0007824037036949374,0.4,2.267322057481485
'10110',1,0.04993,7.348469228349518e-5,0.4,2.272786587823433
'10011',1,0.049793333333333335,0.00046657141885127266,0.4,2.269992859060937
'10001',1,0.050370000000000005,0.00043204937989385796,0.4,2.2563773538195386
'10100',1,0.05041,0.0005935205697081323,0.4,2.254392287168518
'00011',1,0.04929333333333333,0.00035780193155183126,0.4,2.2600072997830734
'01100',1,0.05001333333333333,0.0002007209228976606,0.4,2.257533319658398
'11000',1,0.05010333333333333,0.001347252347887689,0.4,2.265701363216646
'00111',1,0.05061333333333334,0.0008775850702670116,0.4,2.2662818519278907
'01101',1,0.05014333333333334,0.0006565228268858754,0.4,2.2587737881666428
'00101',1,0.049850000000000005,0.00041960298696108614,0.4,2.269177644190788
