states,flag,Avg0,SD0,frust0,time
'0000111111000000000001111111111111111000',1,0.007466666666666667,0.0003700750674600435,0.3717948717948718,133.06777526911978
'0000000000111111110001111111110000000111',1,0.019280000000000002,0.0002861235164516655,0.36666666666666664,152.0945567899881
'0000111111111111111110000001110000000000',1,0.019363333333333333,0.00028075295585660757,0.36666666666666664,151.41048973164376
'1111000000111111111110000000000000000111',1,0.007606666666666667,6.182412330330485e-5,0.3717948717948718,133.8873884309123
'0000111111000000000001111110001111111000',1,0.026106666666666667,0.00029227080289043916,0.367948717948718,151.16705639773878
'0000111111000000001110000000001111111111',1,0.014366666666666666,0.00016336734339790433,0.367948717948718,142.2053075998565
'0000111111111111110001111110000000000000',1,0.04419666666666666,0.0002524986248587421,0.36666666666666664,165.27220421746185
'1111111111111111110000000000000000000111',1,0.014649999999999998,0.0005232590180780451,0.367948717948718,142.3601077858044
'0000000000000000001111111111111111111000',1,0.015006666666666668,0.0004074582459862884,0.367948717948718,142.57925331251468
'1111000000111111110001111110000000000000',1,0.008346666666666667,0.00019258475767539054,0.3717948717948718,135.07928496954898
'0000000000111111110001111110001111111000',1,0.034993333333333335,0.0006407460928913697,0.367948717948718,147.43392960728514
'0000111111000000001111111111110000000111',1,0.02191,0.00022730302828309826,0.367948717948718,147.92821291716731
'1111000000000000001110000001111111111111',1,0.04427,0.00027288581250527915,0.36666666666666664,165.56041878985613
'1111111111000000000001111110000000000111',1,0.014056666666666667,0.00033638602164114286,0.367948717948718,141.30504404893477
'0000111111111111110000000001110000000111',1,0.01889,0.0002654555832275278,0.36666666666666664,152.11475623257135
'0000000000111111110000000001111111111111',1,0.013966666666666667,0.0002559079695689229,0.367948717948718,141.85665367064678
'1111000000111111111110000001110000000111',1,0.02527666666666667,0.00043276886312313296,0.367948717948718,150.84853830337693
'0000000000111111111110000000001111111000',1,0.008206666666666666,0.00021929178937864642,0.3717948717948718,136.39225069937098
'0000111111111111110000000000001111111000',1,0.03476666666666667,0.00017613126418163804,0.367948717948718,147.60247381548024
'1111111111000000001110000001110000000111',1,0.03453333333333333,7.717224601860055e-5,0.367948717948718,148.40208494804193
'0000000000111111111111111111110000000000',1,0.019286666666666667,0.00021483844059095968,0.36666666666666664,150.7155809211686
'1111111111000000000000000000001111111111',1,0.019559999999999998,0.0005132250968142544,0.36666666666666664,152.70358429855526
'0000111111000000001110000001111111111000',1,0.014489999999999998,0.00034322004603461024,0.367948717948718,142.25560760781718
'1111000000000000001111111111110000000111',1,0.03431,0.0005028584956691776,0.367948717948718,147.33753645202447
