states,flag,Avg0,SD0,frust0,time
'01011',1,0.050513333333333334,0.0005302410353372845,0.4,2.256115632092509
'10001',1,0.04960333333333333,0.00096119139035308,0.4,2.2597395565862315
'01101',1,0.049300000000000004,0.00040431011200150324,0.4,2.2548585266940684
'11001',1,0.04954333333333333,0.00034412530017745383,0.4,2.265135388003168
'01110',1,0.04974666666666667,0.00025302612952464334,0.4,2.2620122303557477
'10100',1,0.04999,0.0002758018612458336,0.4,2.2588852606397767
'11000',1,0.05023,0.00022992752481307247,0.4,2.2615611956451045
'10011',1,0.04950000000000001,0.0005083961709795474,0.4,2.257457162455418
'00110',1,0.049940000000000005,0.00021969676071045726,0.4,2.259931804448541
'00111',1,0.05091333333333333,0.0005380417166808624,0.4,2.262148521819936
'10101',1,0.05039,0.0003505234181430188,0.4,2.2548058436654004
'00011',1,0.050403333333333335,0.0005282255410544095,0.4,2.2565497345999312
'00101',1,0.05009,0.00014854853303438099,0.4,2.2640491315889526
'10110',1,0.04934333333333333,0.0005801915392542553,0.4,2.26632363051351
'01001',1,0.049523333333333336,0.0002269116323349,0.4,2.2624130312786663
'11100',1,0.04967333333333334,0.0003710645346686887,0.4,2.254282059984504
'11010',1,0.05009666666666667,0.0003920317447463757,0.4,2.2666340758108308
'10010',1,0.050570000000000004,0.0005198076567346804,0.4,2.247237130779972
'01100',1,0.05049,0.000924806286022467,0.4,2.2666646337444467
'01010',1,0.05014,0.00043042614542644387,0.4,2.2600455730819147
