states,flag,Avg0,SD0,frust0,time
'01010',1,0.05070666666666667,0.0006805063474273339,0.4,2.264192019114303
'11010',1,0.05009333333333333,0.0008592373879719676,0.4,2.266675915079738
'00101',1,0.049363333333333335,0.00038801489089409363,0.4,2.257849707329028
'00111',1,0.0501,0.0007088488320274423,0.4,2.259653906308858
'10001',1,0.050039999999999994,0.0004196029869610894,0.4,2.2635894391961346
'01001',1,0.04965333333333333,0.00026712460679532274,0.4,2.251011162388353
'10110',1,0.050503333333333324,0.0004973485252371394,0.4,2.2608347825084483
'00011',1,0.04911666666666667,0.0003429609631171179,0.4,2.2683384228993844
'01101',1,0.04973333333333333,0.0010617700106687659,0.4,2.2589906177361843
'01100',1,0.049923333333333327,0.0012939946762727534,0.4,2.2508333333071864
'01110',1,0.049903333333333334,0.00045330882286680543,0.4,2.2643822458381977
'10101',1,0.04951666666666666,0.0004540435612973218,0.4,2.2645146137856904
'10010',1,0.049793333333333335,0.0007455348564770285,0.4,2.2602922085262356
'11001',1,0.05012666666666666,0.00026737406173540565,0.4,2.2660064674423595
'11000',1,0.05088,0.0008632882871130988,0.4,2.2675390286511115
'11100',1,0.049686666666666664,0.00037561800927123827,0.4,2.2514609371253105
'01011',1,0.05036666666666667,0.0004427439691539833,0.4,2.2622714053443804
'10100',1,0.049999999999999996,0.0008510385811857567,0.4,2.255178146103639
'00110',1,0.05026666666666666,0.0002380942857123802,0.4,2.2652359668455997
'10011',1,0.05022666666666667,0.0006377216390313946,0.4,2.2504799370388664
