states,flag,Avg0,SD0,frust0,time
'10110',1,0.05111333333333334,0.0007521229213957581,0.4,2.2574312619871466
'10010',1,0.04998666666666667,0.0004419150245113748,0.4,2.2574809800129327
'01110',1,0.050320000000000004,0.0003967366884975478,0.4,2.2576703824573423
'00011',1,0.05014333333333334,0.00035367907612536233,0.4,2.275859859825205
'01011',1,0.049883333333333335,0.00045762672804614826,0.4,2.2581317213433834
'00111',1,0.05020666666666667,0.0006913432979031183,0.4,2.2548947820665615
'01101',1,0.04986000000000001,0.0011921688918381764,0.4,2.263201195464291
'11010',1,0.0499,0.0005111425111127678,0.4,2.2745959204202033
'00110',1,0.049916666666666665,0.0004654985380093981,0.4,2.2581364544780325
'10001',1,0.05009666666666667,0.00042679685513784753,0.4,2.2712776938047914
'10011',1,0.05034333333333333,0.0007174646719912792,0.4,2.265078065248946
'10101',1,0.04973333333333333,0.0002951082663852163,0.4,2.2686225128523496
'00101',1,0.04946999999999999,0.0006881860213634103,0.4,2.2733450388194965
'10100',1,0.049729999999999996,0.00041158231254513286,0.4,2.266551727950576
'01010',1,0.04946999999999999,0.00024385788210895816,0.4,2.251834751686524
'11100',1,0.05033666666666667,0.00043652669512362594,0.4,2.269411850594388
'11001',1,0.049569999999999996,0.0003343650699460089,0.4,2.2517798487541794
'11000',1,0.049710000000000004,0.0008836288813749817,0.4,2.260232600583348
'01001',1,0.04973666666666667,0.0004375944342526436,0.4,2.257642615799704
'01100',1,0.050473333333333335,0.0005139606556493945,0.4,2.263254831975043
