states,flag,Avg0,SD0,frust0,time
'10010',1,0.05088,0.00020928449536456492,0.4,2.249731236662614
'11000',1,0.04972666666666667,0.0008060741625654268,0.4,2.263692099495979
'10101',1,0.050050000000000004,0.0011000303026129164,0.4,2.270960424209322
'11001',1,0.04951666666666666,0.00048780688346471076,0.4,2.267059644675315
'00110',1,0.04963,0.0005824660218988447,0.4,2.2636237619349977
'11010',1,0.05023,0.00041044691089916574,0.4,2.258801877530163
'10110',1,0.05000000000000001,0.0006382789358893203,0.4,2.244049147861101
'10011',1,0.049686666666666664,0.0002638602323621768,0.4,2.261357901461075
'00101',1,0.049940000000000005,0.000657013444814233,0.4,2.2562200278052247
'00111',1,0.050469999999999994,0.0007101173611922667,0.4,2.2553260521071845
'01101',1,0.050050000000000004,0.000779914525231237,0.4,2.2638596472060613
'01001',1,0.04932,0.0008688306317497478,0.4,2.26322550273048
'01011',1,0.05057333333333333,0.0007027722880769358,0.4,2.2599076542834
'10100',1,0.05061333333333334,0.00040342974054419163,0.4,2.2597655937929826
'01100',1,0.05026666666666666,0.0004437967502760211,0.4,2.2683984132649355
'11100',1,0.04998333333333333,0.00033169597860423607,0.4,2.2691356245508163
'01110',1,0.04991333333333333,0.0006042258591693093,0.4,2.2595124751385307
'10001',1,0.049826666666666665,0.0007715928690414118,0.4,2.26689761915059
'01010',1,0.049240000000000006,0.00041158231254513535,0.4,2.262340934196881
'00011',1,0.050083333333333334,0.00047779586529069916,0.4,2.256874867398547
