states,flag,Avg0,SD0,frust0,time
'100100',0,0.03169666666666667,0.00044304501903180205,0.5,1000.0
'111101',0,0.03750333333333333,0.0005344363593752042,0.36666666666666664,1000.0
'001010',0,0.07644666666666666,0.000246891789161886,0.36666666666666664,1000.0
'100110',0,0.09078333333333333,0.0014364152912333145,0.36666666666666664,1000.0
'001100',0,0.01285,0.00034765883660086474,0.5,1000.0
'011001',0,0.09101333333333333,0.0005155148451359572,0.36666666666666664,1000.0
'100001',0,0.006703333333333333,2.494438257849301e-5,0.5666666666666667,1000.0
'011011',0,0.03206333333333333,0.00019871811414385202,0.5,1000.0
'110111',0,0.016193333333333334,0.0005543965688526179,0.36666666666666664,1000.0
'100101',0,0.021206666666666665,0.00020072092289766055,0.43333333333333335,1000.0
'011000',0,0.060283333333333335,0.0002771682200798335,0.3,1000.0
'110101',0,0.07792333333333333,0.00024729649321322166,0.36666666666666664,1000.0
'010010',0,0.00017333333333333336,2.494438257849295e-5,0.5666666666666667,1000.0
'100010',0,0.01569,0.000340978982734518,0.36666666666666664,1000.0
'100111',0,0.06031333333333333,0.0002653718564999343,0.3,1000.0
'011110',0,0.006860000000000001,0.00014306175822583308,0.5666666666666667,1000.0
'101100',0,0.004933333333333333,0.00016499158227686116,0.5,1000.0
'000011',0,0.00382,0.00012027745701779134,0.43333333333333335,1000.0
'000100',0,0.006339999999999999,0.0003040833219146795,0.6333333333333333,1000.0
'000010',0,0.03718333333333333,0.0004763985259796195,0.36666666666666664,1000.0
'001110',0,0.026899999999999997,0.00014988884770611387,0.5,1000.0
'111001',0,0.01102,8.602325267042633e-5,0.5,1000.0
'011010',0,0.02094,0.00045891175622334967,0.43333333333333335,1000.0
'110010',0,0.004946666666666666,0.0002852289528704186,0.5666666666666667,1000.0
'110000',0,0.0013100000000000002,0.00016062378404209016,0.5666666666666667,1000.0
'100011',0,0.012019999999999998,0.0002404163056034262,0.43333333333333335,1000.0
'011111',0,0.01368,0.00022464787260659003,0.5,1000.0
'010101',0,0.0011066666666666666,5.312459150169748e-5,0.5,1000.0
'000111',0,0.009543333333333332,0.00017745108872274914,0.43333333333333335,1000.0
'111100',0,0.0038099999999999996,0.00010230672835481863,0.43333333333333335,1000.0
'011101',0,0.016126666666666668,0.0006296206971043934,0.36666666666666664,1000.0
'000110',0,0.011139999999999999,0.00011860297916438145,0.5,1000.0
'111011',0,0.006506666666666667,2.3570226039551442e-5,0.6333333333333333,1000.0
'000000',0,0.006826666666666666,0.0002763250903475027,0.5,1000.0
'110011',0,0.012613333333333332,0.00020997354330698218,0.5,1000.0
'001000',0,0.01642,0.0002782085548648721,0.36666666666666664,1000.0
'100000',0,0.013086666666666668,0.00015282524515130167,0.5,1000.0
'001101',0,0.005006666666666667,0.00020005554784164876,0.5666666666666667,1000.0
'001001',0,0.0014633333333333332,4.7140452079103295e-6,0.5666666666666667,1000.0
'010011',0,0.00474,2.4494897427831846e-5,0.5,1000.0
'000001',0,0.005323333333333333,0.00016679994670929074,0.5666666666666667,1000.0
'110001',0,0.026943333333333336,0.000275358352374178,0.5,1000.0
'111000',0,0.00965,0.00022090722034374477,0.43333333333333335,1000.0
'111110',0,0.005763333333333333,0.0001181336343111293,0.5666666666666667,1000.0
'101000',0,0.011733333333333333,0.00047618857142476173,0.5,1000.0
'111111',0,0.006796666666666667,0.00016357125528513705,0.5,1000.0
'001111',0,0.0015166666666666668,0.00013072447700751718,0.5666666666666667,1000.0
'101011',0,0.0016033333333333333,5.436502143433368e-5,0.7,1000.0
'010111',0,0.011776666666666666,0.00040581878824037825,0.5,1000.0
'011100',0,0.012116666666666666,9.463379711052231e-5,0.43333333333333335,1000.0
'111010',0,0.0028266666666666666,6.599663291074441e-5,0.5666666666666667,1000.0
'110110',0,0.0015033333333333333,6.018490028422592e-5,0.5666666666666667,1000.0
'010100',0,0.0015366666666666669,7.717224601860151e-5,0.7,1000.0
'010001',0,0.0024499999999999995,9.797958971132703e-5,0.5,1000.0
'101110',0,0.0024033333333333333,0.0001806162291219208,0.5,1000.0
'000101',0,0.002813333333333334,6.798692684790377e-5,0.5666666666666667,1000.0
'110100',0,0.0006466666666666666,5.2493385826745445e-5,0.5666666666666667,1000.0
'101111',0,0.0006866666666666667,7.363574011458176e-5,0.5666666666666667,1000.0
'101010',0,0.0010533333333333334,3.2998316455372206e-5,0.5,1000.0
'010000',0,0.0007333333333333333,8.219218670625301e-5,0.5666666666666667,1000.0
'001011',0,0.0007433333333333334,6.236095644623235e-5,0.5666666666666667,1000.0
'101101',0,0.00019333333333333333,3.299831645537221e-5,0.5666666666666667,1000.0
