states,flag,Avg0,SD0,frust0,time
'10101',1,0.04965,0.0007650272326307506,0.4,2.2554873141665923
'00011',1,0.05070333333333333,0.0002548637980482056,0.4,2.2629636028945876
'11000',1,0.050190000000000005,0.00019131126469708792,0.4,2.260751113487677
'11100',1,0.04941,0.0005385783756025352,0.4,2.2639070716751744
'10110',1,0.05006666666666667,0.0003795904225463131,0.4,2.272175839856033
'01001',1,0.05048,0.00023762715894162255,0.4,2.253720438983544
'10011',1,0.0501,0.0007912437466840819,0.4,2.2505471594155915
'11010',1,0.05011666666666667,9.533566430716744e-5,0.4,2.2577863165045304
'01010',1,0.049146666666666665,0.00016759740119968894,0.4,2.2567713155730114
'11001',1,0.04963000000000001,0.0005163332257370236,0.4,2.2600760529672925
'00110',1,0.050660000000000004,0.00047462265713582206,0.4,2.2679346308230617
'10100',1,0.05031333333333333,0.0008707978461668866,0.4,2.2575605513534227
'10001',1,0.05080333333333333,0.0005638754787677465,0.4,2.247155788438861
'00101',1,0.05006666666666667,0.0003674537007872178,0.4,2.2569234638301263
'01101',1,0.050306666666666666,0.0007970919367021321,0.4,2.262493411642676
'10010',1,0.04930333333333334,0.0010546510744738706,0.4,2.256264936773473
'01110',1,0.04954333333333333,0.0003055414138141611,0.4,2.2662816336037053
'01100',1,0.049686666666666664,0.0005140903509003918,0.4,2.2610522363697494
'00111',1,0.04954,0.0011697008164483762,0.4,2.2664395459970335
'01011',1,0.05028333333333334,0.0004946603773185069,0.4,2.265200570701215
