states,flag,Avg0,SD0,frust0,time
'100100011',1,0.04796333333333334,0.0007669130039030236,0.5263157894736842,9.465156200483378
'100101001',1,0.04863,0.0005235137693190743,0.5263157894736842,9.464901583154274
'101000101',1,0.047673333333333325,0.0003752628708281991,0.5263157894736842,9.684955429391232
'110001001',1,0.04753333333333334,0.0006273931958686068,0.5263157894736842,9.648972676900199
'111000001',1,0.04750333333333334,0.0005313086568924767,0.5263157894736842,9.566418566452557
'100110001',1,0.04739666666666667,0.0005836856079165273,0.5263157894736842,9.519661706433553
'110100001',1,0.04768666666666666,0.00010873004286866836,0.5263157894736842,9.619362918182714
'101010001',1,0.047913333333333336,0.00041152831683318684,0.5263157894736842,9.472914702456881
'110000101',1,0.047586666666666666,0.00043492017147466947,0.5263157894736842,9.515451649405087
'100011001',1,0.047556666666666664,0.00024635114955868983,0.5263157894736842,9.607138541524877
'101001001',1,0.047086666666666666,0.0004151572660517408,0.5263157894736842,9.571636327937563
'100100101',1,0.04793666666666666,0.0006431346843564119,0.5263157894736842,9.617149782418542
'100010011',1,0.047003333333333334,0.00044850368510811076,0.5263157894736842,9.482810151017143
'100001011',1,0.04749333333333333,0.0004365266951236273,0.5263157894736842,9.636739669933997
'101100001',1,0.04720666666666667,0.0007380304118997327,0.5263157894736842,9.572104274014672
'110000011',1,0.04759333333333333,0.0003592894221778419,0.5263157894736842,9.671288670946453
'101000011',1,0.04748333333333333,0.0004999555535800724,0.5263157894736842,9.503456535372884
'100001101',1,0.04745666666666667,0.00041314511843768687,0.5263157894736842,9.559168458627525
'110010001',1,0.048440000000000004,0.00039631637193871715,0.5263157894736842,9.545664813627608
'100000111',1,0.0471,0.0009162241356058385,0.5263157894736842,9.65799396841994
'100010101',1,0.04775666666666667,0.0004814099661988293,0.5263157894736842,9.637119775275963
