sum,Avg0,SD0,frust0,file,Nodes,Impure
4,0.0,0.0,0.0,Impure_4_1_0,4,1
2,1.0,0.002204560928822,0.1666666666666666,Impure_4_2_0,4,2
0,0.0,0.0,0.0,Impure_4_2_0,4,2
1,0.0,0.0,0.0,Impure_4_2_0,4,2
3,0.0,0.0,0.0,Impure_4_2_0,4,2
4,0.0,0.0,0.0,Impure_4_2_0,4,2
2,0.9999999999999999,0.0049530142199388,0.3333333333333333,Impure_4_2_2,4,2
0,0.0,0.0,0.0,Impure_4_2_2,4,2
1,0.0,0.0,0.0,Impure_4_2_2,4,2
3,0.0,0.0,0.0,Impure_4_2_2,4,2
4,0.0,0.0,0.0,Impure_4_2_2,4,2
2,1.0,0.0027690832819223,0.1666666666666666,Impure_4_2_4,4,2
0,0.0,0.0,0.0,Impure_4_2_4,4,2
1,0.0,0.0,0.0,Impure_4_2_4,4,2
3,0.0,0.0,0.0,Impure_4_2_4,4,2
4,0.0,0.0,0.0,Impure_4_2_4,4,2
2,1.0,0.0047564973106968,0.0833333333333333,Impure_4_3_0,4,3
0,0.0,0.0,0.0,Impure_4_3_0,4,3
1,0.0,0.0,0.0,Impure_4_3_0,4,3
3,0.0,0.0,0.0,Impure_4_3_0,4,3
4,0.0,0.0,0.0,Impure_4_3_0,4,3
2,1.0,0.0023363218956298,0.25,Impure_4_3_10,4,3
0,0.0,0.0,0.0,Impure_4_3_10,4,3
1,0.0,0.0,0.0,Impure_4_3_10,4,3
3,0.0,0.0,0.0,Impure_4_3_10,4,3
4,0.0,0.0,0.0,Impure_4_3_10,4,3
2,1.0,0.0015275543270934,0.25,Impure_4_3_2,4,3
0,0.0,0.0,0.0,Impure_4_3_2,4,3
1,0.0,0.0,0.0,Impure_4_3_2,4,3
3,0.0,0.0,0.0,Impure_4_3_2,4,3
4,0.0,0.0,0.0,Impure_4_3_2,4,3
2,1.0,0.0018566636744439,0.25,Impure_4_3_4,4,3
0,0.0,0.0,0.0,Impure_4_3_4,4,3
1,0.0,0.0,0.0,Impure_4_3_4,4,3
3,0.0,0.0,0.0,Impure_4_3_4,4,3
4,0.0,0.0,0.0,Impure_4_3_4,4,3
1,0.4992466666666666,0.0001271045064329,0.25,Impure_4_3_5,4,3
3,0.5007533333333334,0.0001271045064329,0.25,Impure_4_3_5,4,3
0,0.0,0.0,0.0,Impure_4_3_5,4,3
2,0.0,0.0,0.0,Impure_4_3_5,4,3
4,0.0,0.0,0.0,Impure_4_3_5,4,3
1,0.5001866666666667,0.0006073073539998,0.25,Impure_4_3_6,4,3
3,0.4998133333333333,0.0006073073539998,0.25,Impure_4_3_6,4,3
0,0.0,0.0,0.0,Impure_4_3_6,4,3
2,0.0,0.0,0.0,Impure_4_3_6,4,3
4,0.0,0.0,0.0,Impure_4_3_6,4,3
2,1.0,0.0028742071370494,0.3333333333333333,Impure_4_4_0,4,4
0,0.0,0.0,0.0,Impure_4_4_0,4,4
1,0.0,0.0,0.0,Impure_4_4_0,4,4
3,0.0,0.0,0.0,Impure_4_4_0,4,4
4,0.0,0.0,0.0,Impure_4_4_0,4,4
1,0.4999166666666666,0.0010608906111795,0.1666666666666666,Impure_4_4_10,4,4
3,0.5000833333333333,0.0010608906111795,0.1666666666666666,Impure_4_4_10,4,4
0,0.0,0.0,0.0,Impure_4_4_10,4,4
2,0.0,0.0,0.0,Impure_4_4_10,4,4
4,0.0,0.0,0.0,Impure_4_4_10,4,4
2,0.9999999999999999,0.0053811979266244,0.3333333333333333,Impure_4_4_11,4,4
0,0.0,0.0,0.0,Impure_4_4_11,4,4
1,0.0,0.0,0.0,Impure_4_4_11,4,4
3,0.0,0.0,0.0,Impure_4_4_11,4,4
4,0.0,0.0,0.0,Impure_4_4_11,4,4
2,1.0,0.0003959797974644,0.1666666666666666,Impure_4_4_12,4,4
0,0.0,0.0,0.0,Impure_4_4_12,4,4
1,0.0,0.0,0.0,Impure_4_4_12,4,4
3,0.0,0.0,0.0,Impure_4_4_12,4,4
4,0.0,0.0,0.0,Impure_4_4_12,4,4
1,0.50002,0.0009931853600648,0.3333333333333333,Impure_4_4_15,4,4
3,0.49998,0.0016392000965153,0.3333333333333333,Impure_4_4_15,4,4
0,0.0,0.0,0.0,Impure_4_4_15,4,4
2,0.0,0.0,0.0,Impure_4_4_15,4,4
4,0.0,0.0,0.0,Impure_4_4_15,4,4
1,0.5009433333333333,0.001052372979931,0.3333333333333333,Impure_4_4_17,4,4
3,0.4990566666666667,0.001052372979931,0.3333333333333333,Impure_4_4_17,4,4
0,0.0,0.0,0.0,Impure_4_4_17,4,4
2,0.0,0.0,0.0,Impure_4_4_17,4,4
4,0.0,0.0,0.0,Impure_4_4_17,4,4
1,0.4995233333333333,0.000971642366763,0.1666666666666666,Impure_4_4_21,4,4
3,0.5004766666666667,0.000971642366763,0.1666666666666666,Impure_4_4_21,4,4
0,0.0,0.0,0.0,Impure_4_4_21,4,4
2,0.0,0.0,0.0,Impure_4_4_21,4,4
4,0.0,0.0,0.0,Impure_4_4_21,4,4
2,1.0,0.0009749301969314,0.3333333333333333,Impure_4_4_22,4,4
0,0.0,0.0,0.0,Impure_4_4_22,4,4
1,0.0,0.0,0.0,Impure_4_4_22,4,4
3,0.0,0.0,0.0,Impure_4_4_22,4,4
4,0.0,0.0,0.0,Impure_4_4_22,4,4
1,0.5002933333333333,0.0013289912447387,0.3333333333333333,Impure_4_4_23,4,4
3,0.49970666666666663,0.0016732195616819,0.3333333333333333,Impure_4_4_23,4,4
0,0.0,0.0,0.0,Impure_4_4_23,4,4
2,0.0,0.0,0.0,Impure_4_4_23,4,4
4,0.0,0.0,0.0,Impure_4_4_23,4,4
1,0.4995166666666666,0.0005148678363316,0.1666666666666666,Impure_4_4_25,4,4
3,0.5004833333333334,0.0005148678363317,0.1666666666666666,Impure_4_4_25,4,4
0,0.0,0.0,0.0,Impure_4_4_25,4,4
2,0.0,0.0,0.0,Impure_4_4_25,4,4
4,0.0,0.0,0.0,Impure_4_4_25,4,4
2,0.9999999999999999,0.0021731901793343,0.0,Impure_4_4_26,4,4
0,0.0,0.0,0.0,Impure_4_4_26,4,4
1,0.0,0.0,0.0,Impure_4_4_26,4,4
3,0.0,0.0,0.0,Impure_4_4_26,4,4
4,0.0,0.0,0.0,Impure_4_4_26,4,4
2,0.9999999999999998,0.0048584138137535,0.3333333333333333,Impure_4_4_2,4,4
0,0.0,0.0,0.0,Impure_4_4_2,4,4
1,0.0,0.0,0.0,Impure_4_4_2,4,4
3,0.0,0.0,0.0,Impure_4_4_2,4,4
4,0.0,0.0,0.0,Impure_4_4_2,4,4
1,0.4999966666666666,0.000448875137303,0.3333333333333333,Impure_4_4_3,4,4
3,0.5000033333333332,0.0004488751373031,0.3333333333333333,Impure_4_4_3,4,4
0,0.0,0.0,0.0,Impure_4_4_3,4,4
2,0.0,0.0,0.0,Impure_4_4_3,4,4
4,0.0,0.0,0.0,Impure_4_4_3,4,4
2,1.0,0.0017440438322728,0.1666666666666666,Impure_4_4_5,4,4
0,0.0,0.0,0.0,Impure_4_4_5,4,4
1,0.0,0.0,0.0,Impure_4_4_5,4,4
3,0.0,0.0,0.0,Impure_4_4_5,4,4
4,0.0,0.0,0.0,Impure_4_4_5,4,4
2,1.0,0.0027868899432082,0.1666666666666666,Impure_4_4_9,4,4
0,0.0,0.0,0.0,Impure_4_4_9,4,4
1,0.0,0.0,0.0,Impure_4_4_9,4,4
3,0.0,0.0,0.0,Impure_4_4_9,4,4
4,0.0,0.0,0.0,Impure_4_4_9,4,4
1,0.4996233333333333,0.000201714870272,0.25,Impure_4_5_0,4,5
3,0.5003766666666667,0.000201714870272,0.25,Impure_4_5_0,4,5
0,0.0,0.0,0.0,Impure_4_5_0,4,5
2,0.0,0.0,0.0,Impure_4_5_0,4,5
4,0.0,0.0,0.0,Impure_4_5_0,4,5
1,0.5005499999999999,0.0011486513831446,0.25,Impure_4_5_10,4,5
3,0.4994499999999999,0.0011486513831445,0.25,Impure_4_5_10,4,5
0,0.0,0.0,0.0,Impure_4_5_10,4,5
2,0.0,0.0,0.0,Impure_4_5_10,4,5
4,0.0,0.0,0.0,Impure_4_5_10,4,5
2,0.9999999999999999,0.0014183871905168,0.0833333333333333,Impure_4_5_11,4,5
0,0.0,0.0,0.0,Impure_4_5_11,4,5
1,0.0,0.0,0.0,Impure_4_5_11,4,5
3,0.0,0.0,0.0,Impure_4_5_11,4,5
4,0.0,0.0,0.0,Impure_4_5_11,4,5
2,0.9999999999999998,0.0025872679713464,0.25,Impure_4_5_12,4,5
0,0.0,0.0,0.0,Impure_4_5_12,4,5
1,0.0,0.0,0.0,Impure_4_5_12,4,5
3,0.0,0.0,0.0,Impure_4_5_12,4,5
4,0.0,0.0,0.0,Impure_4_5_12,4,5
2,1.0,0.002645969681526,0.25,Impure_4_5_13,4,5
0,0.0,0.0,0.0,Impure_4_5_13,4,5
1,0.0,0.0,0.0,Impure_4_5_13,4,5
3,0.0,0.0,0.0,Impure_4_5_13,4,5
4,0.0,0.0,0.0,Impure_4_5_13,4,5
1,0.50006,0.0009003332716277,0.25,Impure_4_5_15,4,5
3,0.49994,0.0009003332716277,0.25,Impure_4_5_15,4,5
0,0.0,0.0,0.0,Impure_4_5_15,4,5
2,0.0,0.0,0.0,Impure_4_5_15,4,5
4,0.0,0.0,0.0,Impure_4_5_15,4,5
1,0.5004633333333334,0.0018026153838859,0.25,Impure_4_5_16,4,5
3,0.4995366666666667,0.0018026153838859,0.25,Impure_4_5_16,4,5
0,0.0,0.0,0.0,Impure_4_5_16,4,5
2,0.0,0.0,0.0,Impure_4_5_16,4,5
4,0.0,0.0,0.0,Impure_4_5_16,4,5
1,0.5002433333333333,0.0016807604099203,0.25,Impure_4_5_19,4,5
3,0.4997566666666667,0.0016807604099203,0.25,Impure_4_5_19,4,5
0,0.0,0.0,0.0,Impure_4_5_19,4,5
2,0.0,0.0,0.0,Impure_4_5_19,4,5
4,0.0,0.0,0.0,Impure_4_5_19,4,5
1,0.5016966666666667,0.0010091690751416,0.25,Impure_4_5_1,4,5
3,0.4983033333333333,0.0010091690751416,0.25,Impure_4_5_1,4,5
0,0.0,0.0,0.0,Impure_4_5_1,4,5
2,0.0,0.0,0.0,Impure_4_5_1,4,5
4,0.0,0.0,0.0,Impure_4_5_1,4,5
1,0.5001333333333333,0.0007380304118997,0.0833333333333333,Impure_4_5_24,4,5
3,0.4998666666666667,0.0007380304118997,0.0833333333333333,Impure_4_5_24,4,5
0,0.0,0.0,0.0,Impure_4_5_24,4,5
2,0.0,0.0,0.0,Impure_4_5_24,4,5
4,0.0,0.0,0.0,Impure_4_5_24,4,5
1,0.50222,0.0001019803902718,0.25,Impure_4_5_27,4,5
3,0.4977799999999999,0.0001019803902718,0.25,Impure_4_5_27,4,5
0,0.0,0.0,0.0,Impure_4_5_27,4,5
2,0.0,0.0,0.0,Impure_4_5_27,4,5
4,0.0,0.0,0.0,Impure_4_5_27,4,5
2,1.0,0.0021617482636873,0.25,Impure_4_5_28,4,5
0,0.0,0.0,0.0,Impure_4_5_28,4,5
1,0.0,0.0,0.0,Impure_4_5_28,4,5
3,0.0,0.0,0.0,Impure_4_5_28,4,5
4,0.0,0.0,0.0,Impure_4_5_28,4,5
2,1.0,0.0028940552094864,0.25,Impure_4_5_29,4,5
0,0.0,0.0,0.0,Impure_4_5_29,4,5
1,0.0,0.0,0.0,Impure_4_5_29,4,5
3,0.0,0.0,0.0,Impure_4_5_29,4,5
4,0.0,0.0,0.0,Impure_4_5_29,4,5
2,0.9999999999999998,0.000189267594221022,0.25,Impure_4_5_30,4,5
0,0.0,0.0,0.0,Impure_4_5_30,4,5
1,0.0,0.0,0.0,Impure_4_5_30,4,5
3,0.0,0.0,0.0,Impure_4_5_30,4,5
4,0.0,0.0,0.0,Impure_4_5_30,4,5
1,0.49843,0.0006858571279792,0.25,Impure_4_5_32,4,5
3,0.5015700000000001,0.0006858571279792,0.25,Impure_4_5_32,4,5
