sum,Avg0,SD0,file,Teams,Members
1,1.0,0.0010161802114890999,Team2_10_2,2,6
0,0.0,0.0,Team2_10_2,2,6
2,0.0,0.0,Team2_10_2,2,6
1,1.0,0.0029390399037024,Team2_10_6,2,8
0,0.0,0.0,Team2_10_6,2,8
2,0.0,0.0,Team2_10_6,2,8
1,0.9999999999999999,0.0007138627319028,Team2_10_8,2,9
0,0.0,0.0,Team2_10_8,2,9
2,0.0,0.0,Team2_10_8,2,9
1,0.9999999999999999,0.0030813128515112,Team2_11_9,2,10
0,0.0,0.0,Team2_11_9,2,10
2,0.0,0.0,Team2_11_9,2,10
1,1.0,0.0033363586271395003,Team2_12_4,2,8
0,0.0,0.0,Team2_12_4,2,8
2,0.0,0.0,Team2_12_4,2,8
1,1.0,0.0016886286349184,Team2_12_8,2,10
0,0.0,0.0,Team2_12_8,2,10
2,0.0,0.0,Team2_12_8,2,10
1,0.9999999999999999,0.0038483589576163,Team2_13_5,2,9
0,0.0,0.0,Team2_13_5,2,9
2,0.0,0.0,Team2_13_5,2,9
1,1.0,0.0024129834000441,Team2_13_7,2,10
0,0.0,0.0,Team2_13_7,2,10
2,0.0,0.0,Team2_13_7,2,10
1,0.9999999999999999,0.004832786175926,Team2_1_3,2,2
0,0.0,0.0,Team2_1_3,2,2
2,0.0,0.0,Team2_1_3,2,2
1,1.0,0.001503418327235,Team2_1_5,2,3
0,0.0,0.0,Team2_1_5,2,3
2,0.0,0.0,Team2_1_5,2,3
1,1.0,0.0023973874669452,Team2_2_4,2,3
0,0.0,0.0,Team2_2_4,2,3
2,0.0,0.0,Team2_2_4,2,3
1,1.0,0.0025544905993606,Team2_2_6,2,4
0,0.0,0.0,Team2_2_6,2,4
2,0.0,0.0,Team2_2_6,2,4
1,0.9999999999999999,0.0008217055433668,Team2_2_8,2,5
0,0.0,0.0,Team2_2_8,2,5
2,0.0,0.0,Team2_2_8,2,5
1,1.0,0.0012796179985535001,Team2_3_1,2,2
0,0.0,0.0,Team2_3_1,2,2
2,0.0,0.0,Team2_3_1,2,2
1,1.0,0.0005991846311631001,Team2_4_12,2,8
0,0.0,0.0,Team2_4_12,2,8
2,0.0,0.0,Team2_4_12,2,8
1,1.0,0.0009695818113438,Team2_4_14,2,9
0,0.0,0.0,Team2_4_14,2,9
2,0.0,0.0,Team2_4_14,2,9
1,1.0,0.001033182784732,Team2_4_2,2,3
0,0.0,0.0,Team2_4_2,2,3
2,0.0,0.0,Team2_4_2,2,3
1,1.0,0.002467279203225,Team2_4_6,2,5
0,0.0,0.0,Team2_4_6,2,5
2,0.0,0.0,Team2_4_6,2,5
1,1.0,0.0012885478476002,Team2_4_8,2,6
0,0.0,0.0,Team2_4_8,2,6
2,0.0,0.0,Team2_4_8,2,6
1,1.0,0.0025206877368421,Team2_5_13,2,9
0,0.0,0.0,Team2_5_13,2,9
2,0.0,0.0,Team2_5_13,2,9
1,1.0,0.0010750917273526,Team2_5_3,2,4
0,0.0,0.0,Team2_5_3,2,4
2,0.0,0.0,Team2_5_3,2,4
1,1.0,0.0038459675852334,Team2_6_2,2,4
0,0.0,0.0,Team2_6_2,2,4
2,0.0,0.0,Team2_6_2,2,4
1,1.0,0.0010215021618510999,Team2_6_4,2,5
0,0.0,0.0,Team2_6_4,2,5
2,0.0,0.0,Team2_6_4,2,5
1,1.0,0.0035586888971454,Team2_6_8,2,7
0,0.0,0.0,Team2_6_8,2,7
2,0.0,0.0,Team2_6_8,2,7
1,1.0,0.0043662646125338,Team2_7_3,2,5
0,0.0,0.0,Team2_7_3,2,5
2,0.0,0.0,Team2_7_3,2,5
1,1.0,0.0023810548549376,Team2_7_5,2,6
0,0.0,0.0,Team2_7_5,2,6
2,0.0,0.0,Team2_7_5,2,6
1,1.0,0.0012146147079994999,Team2_7_9,2,8
0,0.0,0.0,Team2_7_9,2,8
2,0.0,0.0,Team2_7_9,2,8
1,1.0,0.001071364654178,Team2_8_10,2,9
0,0.0,0.0,Team2_8_10,2,9
2,0.0,0.0,Team2_8_10,2,9
1,0.9999999999999998,0.002063266019365,Team2_8_6,2,7
0,0.0,0.0,Team2_8_6,2,7
2,0.0,0.0,Team2_8_6,2,7
1,1.0,0.0020883379888216,Team2_9_11,2,10
0,0.0,0.0,Team2_9_11,2,10
2,0.0,0.0,Team2_9_11,2,10
1,0.9999999999999999,0.002167907337093,Team2_9_7,2,8
0,0.0,0.0,Team2_9_7,2,8
2,0.0,0.0,Team2_9_7,2,8
1,0.5000733333333333,0.0017172331427711,Team3_10_11_9,3,10
2,0.49992666666666663,0.0015548270538282,Team3_10_11_9,3,10
0,0.0,0.0,Team3_10_11_9,3,10
3,0.0,0.0,Team3_10_11_9,3,10
1,0.49935333333333326,0.0009951459571250001,Team3_10_13_7,3,10
2,0.5006466666666665,0.0019916135602166,Team3_10_13_7,3,10
0,0.0,0.0,Team3_10_13_7,3,10
3,0.0,0.0,Team3_10_13_7,3,10
1,0.5000266666666665,0.0025451126277252,Team3_10_6_11,3,9
2,0.49997333333333327,0.002252949627283,Team3_10_6_11,3,9
0,0.0,0.0,Team3_10_6_11,3,9
3,0.0,0.0,Team3_10_6_11,3,9
1,0.4992366666666667,0.0015697628978783,Team3_10_6_2,3,6
2,0.5007633333333333,0.0015697628978784,Team3_10_6_2,3,6
0,0.0,0.0,Team3_10_6_2,3,6
3,0.0,0.0,Team3_10_6_2,3,6
