TBX21,GATA3,RORC,FOXP3,BCL6,index,flag,Avg0,SD0,frust0,time,file,Emb_size,Emb_density
1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
1,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
1,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
1,0,1,0,0,0.0,1.0,0.1146533333333333,0.0006288790733431,0.3888888888888889,140.17507465193276,Embedded_TCellDiff_10_2_0,10,2
1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
1,0,0,1,0,5.0,1.0,0.12828444444444437,0.0007184423901009999,0.35493827160493824,124.85605273688857,Embedded_TCellDiff_10_2_0,10,2
1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
0,1,1,0,1,4.0,1.0,0.12897999999999998,0.0003860746736495334,0.35493827160493824,124.57515611415765,Embedded_TCellDiff_10_2_0,10,2
0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
0,1,0,1,1,1.0,1.0,0.1133633333333333,0.000877736989207,0.3888888888888889,140.21978860405167,Embedded_TCellDiff_10_2_0,10,2
0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,Embedded_TCellDiff_10_2_0,10,2
