sum,Avg0,SD0,frust0,file,Nodes,Emb_size,Emb_density,Emb_sizexDensity
0,0.3754033333333328,0.004206885380826427,0.3646153846153846,Embedded_T2_10_2_10,2,10,2,10_2
1,0.2479999999999992,0.004155776203923601,0.3942857142857143,Embedded_T2_10_2_10,2,10,2,10_2
2,0.3765966666666662,0.004006290114462848,0.3646153846153846,Embedded_T2_10_2_10,2,10,2,10_2
1,0.9999999999999999,0.0021593880329912,0.3095238095238095,Embedded_T2_10_2_11,2,10,2,10_2
0,0.0,0.0,0.0,Embedded_T2_10_2_11,2,10,2,10_2
2,0.0,0.0,0.0,Embedded_T2_10_2_11,2,10,2,10_2
1,0.9999999999999999,0.003460926983389,0.31,Embedded_T2_10_2_12,2,10,2,10_2
0,0.0,0.0,0.0,Embedded_T2_10_2_12,2,10,2,10_2
2,0.0,0.0,0.0,Embedded_T2_10_2_12,2,10,2,10_2
0,0.2347166666666666,0.001200564681954,0.38,Embedded_T2_10_2_14,2,10,2,10_2
1,0.5278333333333333,0.0020191460994472997,0.3,Embedded_T2_10_2_14,2,10,2,10_2
2,0.23613,0.0006879437961539,0.38,Embedded_T2_10_2_14,2,10,2,10_2
1,0.9997099999999998,0.0033361732111723,0.3396226415094339,Embedded_T2_10_2_15,2,10,2,10_2
0,0.0,0.0,0.0,Embedded_T2_10_2_15,2,10,2,10_2
2,0.0,0.0,0.0,Embedded_T2_10_2_15,2,10,2,10_2
0,0.4643799999999999,0.0044749482119811,0.36000000000000004,Embedded_T2_10_2_16,2,10,2,10_2
1,0.0725133333333331,0.0009201417883028009,0.4066666666666667,Embedded_T2_10_2_16,2,10,2,10_2
2,0.4630666666666664,0.0043722686710881,0.36000000000000004,Embedded_T2_10_2_16,2,10,2,10_2
0,0.50125,0.0013619169283235,0.3773584905660377,Embedded_T2_10_2_17,2,10,2,10_2
2,0.4986533333333334,0.00044626569719220907,0.3773584905660377,Embedded_T2_10_2_17,2,10,2,10_2
1,0.0,0.0,0.0,Embedded_T2_10_2_17,2,10,2,10_2
1,0.9920866666666661,0.0095635512453751,0.3866666666666667,Embedded_T2_10_2_18,2,10,2,10_2
0,0.0,0.0,0.0,Embedded_T2_10_2_18,2,10,2,10_2
2,0.0,0.0,0.0,Embedded_T2_10_2_18,2,10,2,10_2
1,0.9945433333333333,0.0038234151520570997,0.3111111111111111,Embedded_T2_10_2_19,2,10,2,10_2
0,0.0,0.0,0.0,Embedded_T2_10_2_19,2,10,2,10_2
2,0.0,0.0,0.0,Embedded_T2_10_2_19,2,10,2,10_2
0,0.1137633333333333,0.000889356821279,0.3333333333333333,Embedded_T2_10_2_1,2,10,2,10_2
1,0.7723466666666663,0.0072834197108775,0.3263888888888889,Embedded_T2_10_2_1,2,10,2,10_2
2,0.1138766666666666,0.0011786244336325,0.3333333333333333,Embedded_T2_10_2_1,2,10,2,10_2
0,0.15737,0.0006328243568848,0.375,Embedded_T2_10_2_20,2,10,2,10_2
2,0.1565466666666666,0.0003738389433373,0.375,Embedded_T2_10_2_20,2,10,2,10_2
1,0.0,0.0,0.0,Embedded_T2_10_2_20,2,10,2,10_2
