sum,Avg0,SD0,frust0,file,Nodes,Reg
1,1.0,0.0019351485731074,0.0,T2,2,None
0,0.0,0.0,0.0,T2,2,None
2,0.0,0.0,0.0,T2,2,None
1,0.5011833333333332,0.0030271698359628997,0.3333333333333333,T3,3,None
2,0.49881666666666646,0.0019809078470064,0.3333333333333333,T3,3,None
0,0.0,0.0,0.0,T3,3,None
3,0.0,0.0,0.0,T3,3,None
2,0.9999999999999999,0.0038768403710464,0.3333333333333333,T4,4,None
0,0.0,0.0,0.0,T4,4,None
1,0.0,0.0,0.0,T4,4,None
3,0.0,0.0,0.0,T4,4,None
4,0.0,0.0,0.0,T4,4,None
2,0.5013699999999996,0.0050026317334891,0.4,T5,5,None
3,0.4986299999999995,0.0045108648724024,0.4,T5,5,None
0,0.0,0.0,0.0,T5,5,None
1,0.0,0.0,0.0,T5,5,None
4,0.0,0.0,0.0,T5,5,None
5,0.0,0.0,0.0,T5,5,None
3,0.9999999999999992,0.011436606458653801,0.4,T6,6,None
0,0.0,0.0,0.0,T6,6,None
1,0.0,0.0,0.0,T6,6,None
2,0.0,0.0,0.0,T6,6,None
4,0.0,0.0,0.0,T6,6,None
5,0.0,0.0,0.0,T6,6,None
6,0.0,0.0,0.0,T6,6,None
3,0.4995766666666653,0.010219404652401372,0.4285714285714285,T7,7,None
4,0.5004233333333318,0.009764690787331727,0.4285714285714285,T7,7,None
0,0.0,0.0,0.0,T7,7,None
1,0.0,0.0,0.0,T7,7,None
2,0.0,0.0,0.0,T7,7,None
5,0.0,0.0,0.0,T7,7,None
6,0.0,0.0,0.0,T7,7,None
7,0.0,0.0,0.0,T7,7,None
4,0.9999999999999977,0.01737254804471318,0.4285714285714285,T8,8,None
0,0.0,0.0,0.0,T8,8,None
1,0.0,0.0,0.0,T8,8,None
2,0.0,0.0,0.0,T8,8,None
3,0.0,0.0,0.0,T8,8,None
5,0.0,0.0,0.0,T8,8,None
6,0.0,0.0,0.0,T8,8,None
7,0.0,0.0,0.0,T8,8,None
8,0.0,0.0,0.0,T8,8,None
0,0.2501866666666666,0.0009711276377947,0.5,T2SA,2,SA
1,0.4997166666666665,0.0007695532637763206,0.0,T2SA,2,SA
2,0.2500966666666667,0.001507543992356,0.5,T2SA,2,SA
