sum,Avg0,SD0,file,Teams,Members
1,1.0,0.002423074264006,Team2_10,2,10
0,0.0,0.0,Team2_10,2,10
2,0.0,0.0,Team2_10,2,10
1,1.0,0.0043611721156383,Team2_2,2,2
0,0.0,0.0,Team2_2,2,2
2,0.0,0.0,Team2_2,2,2
1,1.0,0.0027951068355648997,Team2_3,2,3
0,0.0,0.0,Team2_3,2,3
2,0.0,0.0,Team2_3,2,3
1,1.0,0.0010222850222254,Team2_4,2,4
0,0.0,0.0,Team2_4,2,4
2,0.0,0.0,Team2_4,2,4
1,1.0,0.0042675311624194,Team2_5,2,5
0,0.0,0.0,Team2_5,2,5
2,0.0,0.0,Team2_5,2,5
1,1.0,0.001808596755007,Team2_6,2,6
0,0.0,0.0,Team2_6,2,6
2,0.0,0.0,Team2_6,2,6
1,0.9999999999999998,0.0028240081838092,Team2_7,2,7
0,0.0,0.0,Team2_7,2,7
2,0.0,0.0,Team2_7,2,7
1,1.0,0.002727831861876,Team2_8,2,8
0,0.0,0.0,Team2_8,2,8
2,0.0,0.0,Team2_8,2,8
1,1.0,0.0012458285953086,Team2_9,2,9
0,0.0,0.0,Team2_9,2,9
2,0.0,0.0,Team2_9,2,9
1,0.501313333333333,0.0026752423791804,Team3_10,3,10
2,0.4986866666666666,0.0029099953121031,Team3_10,3,10
0,0.0,0.0,Team3_10,3,10
3,0.0,0.0,Team3_10,3,10
1,0.5005466666666666,0.0028741447130358,Team3_2,3,2
2,0.4994533333333333,0.0024045386490684,Team3_2,3,2
0,0.0,0.0,Team3_2,3,2
3,0.0,0.0,Team3_2,3,2
1,0.4992266666666667,0.0018524836979548437,Team3_3,3,3
2,0.5007733333333333,0.0021779270367880002,Team3_3,3,3
0,0.0,0.0,Team3_3,3,3
3,0.0,0.0,Team3_3,3,3
1,0.5004466666666665,0.002881869954285,Team3_4,3,4
2,0.4995533333333332,0.0025004494809957997,Team3_4,3,4
0,0.0,0.0,Team3_4,3,4
3,0.0,0.0,Team3_4,3,4
1,0.5000233333333333,0.0035676700470420003,Team3_5,3,5
2,0.4999766666666665,0.0035841611312878,Team3_5,3,5
0,0.0,0.0,Team3_5,3,5
3,0.0,0.0,Team3_5,3,5
1,0.4996133333333332,0.0022269752994832004,Team3_6,3,6
2,0.5003866666666666,0.0022403923040663,Team3_6,3,6
0,0.0,0.0,Team3_6,3,6
3,0.0,0.0,Team3_6,3,6
1,0.4986033333333332,0.0028073568562679,Team3_7,3,7
2,0.5013966666666666,0.0004487265600826,Team3_7,3,7
0,0.0,0.0,Team3_7,3,7
3,0.0,0.0,Team3_7,3,7
1,0.5005333333333332,0.0021456209868501,Team3_8,3,8
2,0.4994666666666666,0.0021200206338068,Team3_8,3,8
0,0.0,0.0,Team3_8,3,8
