n,Self,Fn,Frustration
2,0,0,1.0
2,0,1,0.0
2,0,2,1.0
2,1,0,0.5
2,1,1,0.0
2,1,2,0.5
2,-1,0,1.0
2,-1,1,0.5
2,-1,2,1.0
3,0,0,1.0
3,0,1,0.3333333333333333
3,0,2,0.3333333333333333
3,0,3,1.0
3,1,0,0.6666666666666666
3,1,1,0.2222222222222222
3,1,2,0.2222222222222222
3,1,3,0.6666666666666666
3,-1,0,1.0
3,-1,1,0.5555555555555556
3,-1,2,0.5555555555555556
3,-1,3,1.0
4,0,0,1.0
4,0,1,0.5
4,0,2,0.3333333333333333
4,0,3,0.5
4,0,4,1.0
4,1,0,0.75
4,1,1,0.375
4,1,2,0.25
4,1,3,0.375
4,1,4,0.75
4,-1,0,1.0
4,-1,1,0.625
4,-1,2,0.5
4,-1,3,0.625
4,-1,4,1.0
5,0,0,1.0
5,0,1,0.6
5,0,2,0.4
5,0,3,0.4
5,0,4,0.6
5,0,5,1.0
5,1,0,0.8
5,1,1,0.48
5,1,2,0.32
5,1,3,0.32
5,1,4,0.48
5,1,5,0.8
5,-1,0,1.0
5,-1,1,0.68
5,-1,2,0.52
5,-1,3,0.52
5,-1,4,0.68
5,-1,5,1.0
6,0,0,1.0
6,0,1,0.6666666666666666
6,0,2,0.4666666666666667
6,0,3,0.4
6,0,4,0.4666666666666667
6,0,5,0.6666666666666666
6,0,6,1.0
6,1,0,0.8333333333333334
6,1,1,0.5555555555555556
6,1,2,0.3888888888888889
6,1,3,0.3333333333333333
6,1,4,0.3888888888888889
6,1,5,0.5555555555555556
6,1,6,0.8333333333333334
6,-1,0,1.0
6,-1,1,0.7222222222222222
6,-1,2,0.5555555555555556
6,-1,3,0.5
6,-1,4,0.5555555555555556
6,-1,5,0.7222222222222222
6,-1,6,1.0
7,0,0,1.0
7,0,1,0.7142857142857143
7,0,2,0.5238095238095238
7,0,3,0.42857142857142855
7,0,4,0.42857142857142855
7,0,5,0.5238095238095238
7,0,6,0.7142857142857143
7,0,7,1.0
7,1,0,0.8571428571428571
7,1,1,0.6122448979591837
7,1,2,0.4489795918367347
7,1,3,0.3673469387755102
7,1,4,0.3673469387755102
7,1,5,0.4489795918367347
7,1,6,0.6122448979591837
7,1,7,0.8571428571428571
7,-1,0,1.0
7,-1,1,0.7551020408163265
7,-1,2,0.5918367346938775
7,-1,3,0.5102040816326531
7,-1,4,0.5102040816326531
7,-1,5,0.5918367346938775
7,-1,6,0.7551020408163265
7,-1,7,1.0
8,0,0,1.0
8,0,1,0.75
8,0,2,0.5714285714285714
8,0,3,0.4642857142857143
8,0,4,0.42857142857142855
8,0,5,0.4642857142857143
8,0,6,0.5714285714285714
8,0,7,0.75
8,0,8,1.0
8,1,0,0.875
8,1,1,0.65625
8,1,2,0.5
8,1,3,0.40625
8,1,4,0.375
8,1,5,0.40625
8,1,6,0.5
8,1,7,0.65625
8,1,8,0.875
8,-1,0,1.0
8,-1,1,0.78125
8,-1,2,0.625
8,-1,3,0.53125
8,-1,4,0.5
8,-1,5,0.53125
8,-1,6,0.625
8,-1,7,0.78125
8,-1,8,1.0
