TBX21,GATA3,RORC,FOXP3,BCL6,index,flag,Avg0,SD0,frust0,time,file
1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,TCellDiff_25
1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,TCellDiff_25
1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,TCellDiff_25
1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,TCellDiff_25
1,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,TCellDiff_25
1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,TCellDiff_25
1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,TCellDiff_25
1,1,0,0,0,3.0,1.0,0.2235866666666666,0.0009077934175179,0.2091676261431582,11.852810053908508,TCellDiff_25
1,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,TCellDiff_25
1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,TCellDiff_25
1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,TCellDiff_25
1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,TCellDiff_25
1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,TCellDiff_25
1,0,0,1,0,0.0,1.0,0.27661,0.0012381706936713,0.2051480454749337,13.476483683414322,TCellDiff_25
1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,TCellDiff_25
1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,TCellDiff_25
0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,TCellDiff_25
0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,TCellDiff_25
0,1,1,0,1,1.0,1.0,0.27782,0.0019643998235254,0.2051480454749337,13.48033468060398,TCellDiff_25
0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,TCellDiff_25
0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,TCellDiff_25
0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,TCellDiff_25
0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,TCellDiff_25
0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,TCellDiff_25
