EW,SW,FA1
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
3,1,0.6509633333333333
3,2,0.62829
3,3,0.5634466666666667
3,4,0.5606033333333332
3,5,0.55406
3,6,0.5539933333333333
3,7,0.5553066666666666
3,8,0.5530066666666666
3,9,0.5550533333333333
3,10,0.5528933333333333
4,1,0.8638499999999999
4,2,1.0
4,3,1.0
4,4,1.0
4,5,1.0
4,6,1.0
4,7,1.0
4,8,1.0
4,9,1.0
4,10,1.0
5,1,0.7497633333333334
5,2,0.8797333333333334
5,3,1.0
5,4,1.0
5,5,1.0
5,6,1.0
5,7,1.0
5,8,1.0
5,9,1.0
5,10,1.0
6,1,0.7496300000000001
6,2,0.7641300000000001
6,3,1.0
6,4,1.0
6,5,1.0
6,6,1.0
6,7,1.0
6,8,1.0
6,9,1.0
6,10,1.0
7,1,0.7511233333333335
7,2,0.7662
7,3,1.0
7,4,1.0
7,5,1.0
7,6,1.0
7,7,1.0
7,8,1.0
7,9,1.0
7,10,1.0
8,1,0.74927
8,2,0.7663966666666667
8,3,1.0
8,4,1.0
8,5,1.0
8,6,1.0
8,7,1.0
8,8,1.0
8,9,1.0
8,10,1.0
9,1,0.7511433333333333
9,2,0.76667
9,3,1.0
9,4,1.0
9,5,1.0
9,6,1.0
9,7,1.0
9,8,1.0
9,9,1.0
9,10,1.0
10,1,0.7493299999999999
10,2,0.76476
10,3,1.0
10,4,1.0
10,5,1.0
10,6,1.0
10,7,1.0
10,8,1.0
10,9,1.0
10,10,1.0
