sum,Avg0,SD0,frust0,file,Impure
2,0.4982266666666662,0.0044916349855173,0.4,Impure_5_0_0,0
3,0.5017733333333328,0.004780497536794547,0.4,Impure_5_0_0,0
0,0.0,0.0,0.0,Impure_5_0_0,0
1,0.0,0.0,0.0,Impure_5_0_0,0
4,0.0,0.0,0.0,Impure_5_0_0,0
5,0.0,0.0,0.0,Impure_5_0_0,0
2,0.5002166666666661,0.0046740321051992,0.4,Impure_5_1_0,1
5,0.0,0.0,0.0,Impure_5_1_0,1
4,0.0,0.0,0.0,Impure_5_1_0,1
1,0.0,0.0,0.0,Impure_5_1_0,1
0,0.0,0.0,0.0,Impure_5_1_0,1
3,0.4997833333333329,0.005561537803811927,0.4,Impure_5_1_0,1
5,0.0,0.0,0.0,Impure_5_2_2,2
2,0.499983333333333,0.0055654665932338,0.4,Impure_5_2_3,2
3,0.5000166666666664,0.0037762321761366678,0.4,Impure_5_2_3,2
1,0.0,0.0,0.0,Impure_5_2_3,2
4,0.0,0.0,0.0,Impure_5_2_3,2
5,0.0,0.0,0.0,Impure_5_2_3,2
5,0.0,0.0,0.0,Impure_5_2_4,2
3,0.5006299999999997,0.0036391591359833195,0.4,Impure_5_2_4,2
0,0.0,0.0,0.0,Impure_5_2_4,2
1,0.0,0.0,0.0,Impure_5_2_4,2
4,0.0,0.0,0.0,Impure_5_2_4,2
4,0.0,0.0,0.0,Impure_5_2_2,2
2,0.4993699999999997,0.0062388984612471,0.4,Impure_5_2_4,2
1,0.0,0.0,0.0,Impure_5_2_2,2
0,0.0,0.0,0.0,Impure_5_2_3,2
3,0.5003699999999995,0.005067937752351548,0.4,Impure_5_2_2,2
0,0.0,0.0,0.0,Impure_5_2_2,2
2,0.49930666666666623,0.0042516297556257,0.4,Impure_5_2_0,2
3,0.500693333333333,0.00401034247178902,0.4,Impure_5_2_0,2
1,0.0,0.0,0.0,Impure_5_2_0,2
4,0.0,0.0,0.0,Impure_5_2_0,2
5,0.0,0.0,0.0,Impure_5_2_0,2
2,0.4994299999999995,0.0043935761920501,0.4,Impure_5_2_1,2
0,0.0,0.0,0.0,Impure_5_2_0,2
0,0.0,0.0,0.0,Impure_5_2_1,2
1,0.0,0.0,0.0,Impure_5_2_1,2
4,0.0,0.0,0.0,Impure_5_2_1,2
5,0.0,0.0,0.0,Impure_5_2_1,2
2,0.4996299999999996,0.0040401267376380555,0.4,Impure_5_2_2,2
3,0.5005699999999996,0.0044664842505802,0.4,Impure_5_2_1,2
1,0.0,0.0,0.0,Impure_5_3_5,3
3,0.4991533333333328,0.0042315038504887,0.4,Impure_5_3_4,3
0,0.0,0.0,0.0,Impure_5_3_5,3
3,0.4994699999999995,0.0037401162853382,0.4,Impure_5_3_5,3
2,0.5005299999999996,0.004348440133708,0.4,Impure_5_3_5,3
5,0.0,0.0,0.0,Impure_5_3_4,3
4,0.0,0.0,0.0,Impure_5_3_4,3
1,0.0,0.0,0.0,Impure_5_3_4,3
0,0.0,0.0,0.0,Impure_5_3_4,3
2,0.5008466666666664,0.0053416477529008004,0.4,Impure_5_3_4,3
5,0.0,0.0,0.0,Impure_5_3_2,3
4,0.0,0.0,0.0,Impure_5_3_3,3
1,0.0,0.0,0.0,Impure_5_3_3,3
0,0.0,0.0,0.0,Impure_5_3_3,3
3,0.5011466666666663,0.0039058304210223002,0.4,Impure_5_3_3,3
2,0.4988533333333329,0.003208054166863401,0.4,Impure_5_3_3,3
4,0.0,0.0,0.0,Impure_5_3_2,3
1,0.0,0.0,0.0,Impure_5_3_2,3
