sum,Avg0,SD0,frust0,file,Nodes,Reg
1,1.0,0.0026637484032008,0.0,T2,2,None
0,0.0,0.0,0.0,T2,2,None
2,0.0,0.0,0.0,T2,2,None
1,1.0,0.0030752922173708,0.0,T2,2,None
0,0.0,0.0,0.0,T2,2,None
2,0.0,0.0,0.0,T2,2,None
1,0.9999999999999999,0.002063416799604,0.0,T2,2,None
0,0.0,0.0,0.0,T2,2,None
2,0.0,0.0,0.0,T2,2,None
1,1.0,0.0031044197883376,0.0,T2,2,None
0,0.0,0.0,0.0,T2,2,None
2,0.0,0.0,0.0,T2,2,None
1,1.0,0.0023723031472014,0.0,T2,2,None
0,0.0,0.0,0.0,T2,2,None
2,0.0,0.0,0.0,T2,2,None
1,1.0,0.0021690550938138,0.0,T2,2,None
0,0.0,0.0,0.0,T2,2,None
2,0.0,0.0,0.0,T2,2,None
1,1.0,0.0011396295694459,0.0,T2,2,None
0,0.0,0.0,0.0,T2,2,None
2,0.0,0.0,0.0,T2,2,None
1,1.0,0.003664472070511,0.0,T2,2,None
0,0.0,0.0,0.0,T2,2,None
2,0.0,0.0,0.0,T2,2,None
1,1.0,0.0010316330096824,0.0,T2,2,None
0,0.0,0.0,0.0,T2,2,None
2,0.0,0.0,0.0,T2,2,None
1,1.0,0.0036763387584206,0.0,T2,2,None
0,0.0,0.0,0.0,T2,2,None
2,0.0,0.0,0.0,T2,2,None
1,1.0,0.0019799663296799002,0.0,T2,2,None
0,0.0,0.0,0.0,T2,2,None
2,0.0,0.0,0.0,T2,2,None
1,0.9999999999999999,0.0023187544549222,0.0,T2,2,None
0,0.0,0.0,0.0,T2,2,None
2,0.0,0.0,0.0,T2,2,None
1,1.0,0.0015728530340328,0.0,T2,2,None
0,0.0,0.0,0.0,T2,2,None
2,0.0,0.0,0.0,T2,2,None
1,1.0,0.0022844595762576,0.0,T2,2,None
0,0.0,0.0,0.0,T2,2,None
2,0.0,0.0,0.0,T2,2,None
1,0.9999999999999999,0.004288154226082,0.0,T2,2,None
0,0.0,0.0,0.0,T2,2,None
2,0.0,0.0,0.0,T2,2,None
1,0.9999999999999999,0.0012513814588507,0.0,T2,2,None
0,0.0,0.0,0.0,T2,2,None
2,0.0,0.0,0.0,T2,2,None
1,1.0,0.0011023611023616,0.0,T2,2,None
0,0.0,0.0,0.0,T2,2,None
2,0.0,0.0,0.0,T2,2,None
1,0.9999999999999999,0.0010999393922696,0.0,T2,2,None
0,0.0,0.0,0.0,T2,2,None
2,0.0,0.0,0.0,T2,2,None
1,0.9999999999999999,0.0007159764117778,0.0,T2,2,None
0,0.0,0.0,0.0,T2,2,None
2,0.0,0.0,0.0,T2,2,None
1,1.0,0.0020060574933602,0.0,T2,2,None
0,0.0,0.0,0.0,T2,2,None
2,0.0,0.0,0.0,T2,2,None
1,1.0,0.0016323670611176,0.0,T2,2,None
0,0.0,0.0,0.0,T2,2,None
2,0.0,0.0,0.0,T2,2,None
1,1.0,0.0020260306019406,0.0,T2,2,None
