states,flag,Avg0,SD0,frust0,time
'10100101',0,0.008,0.0005656854249492379,0.24981982676437886,1000.0
'01010101',0,0.012733333333333333,0.0009104333522498441,0.25247943907317516,1000.0
'00010011',0,0.008466666666666666,0.00040276819911981874,0.2635766442660719,1000.0
'10001011',0,0.021300000000000003,0.000804155872120989,0.2392386814232802,1000.0
'10010100',0,0.0025666666666666667,9.428090415820637e-5,0.2716211085686271,1000.0
'11000110',0,0.020533333333333334,0.0005906681715556456,0.23399490071605114,1000.0
'01010011',0,0.005333333333333333,0.0004784233364802442,0.25596987309813873,1000.0
'11000100',0,0.0151,0.00021602468994692898,0.24525610712111937,1000.0
'11010101',0,0.0229,0.0020704266871026046,0.23777455328413305,1000.0
'10110100',0,0.019533333333333333,0.000618241233033048,0.23169080585869836,1000.0
'00111001',0,0.021466666666666665,0.0011469767022723504,0.23399490071605114,1000.0
'10000111',0,0.010733333333333333,0.000659966329107444,0.23458509760241686,1000.0
'00101010',0,0.0226,0.0016268579122549914,0.23777455328413305,1000.0
'00101101',0,0.014166666666666666,0.00026246692913372703,0.25784931369290914,1000.0
'00011011',0,0.021,0.0006480740698407864,0.23383214721339252,1000.0
'00010111',0,0.007333333333333333,0.0004988876515698591,0.26396316137886855,1000.0
'10101010',0,0.012833333333333334,0.0007039570693980952,0.25247943907317516,1000.0
'01010110',0,0.0103,0.0012832251036613434,0.26052292527390203,1000.0
'10100100',0,0.002533333333333333,0.00046427960923947067,0.26558406795610545,1000.0
'11100100',0,0.019866666666666668,0.0018153665072253473,0.23383214721339252,1000.0
'11110100',0,0.024666666666666667,0.0005557777333511016,0.22429849925994058,1000.0
'11000101',0,0.01686666666666667,0.0020548046676563247,0.23031570400544632,1000.0
'10101000',0,0.0038,0.0005099019513592786,0.2732608341899259,1000.0
'00101011',0,0.04613333333333333,0.0035742909164693843,0.21779156773809563,1000.0
'10010101',0,0.0089,0.0005354126134736332,0.24081961457589696,1000.0
'01101011',0,0.0025,8.164965809277265e-5,0.2716211085686271,1000.0
'11010001',0,0.002,0.0004320493798938573,0.2633172947693323,1000.0
'00001011',0,0.024166666666666666,0.0009741092797468301,0.22429849925994058,1000.0
'11010100',0,0.04543333333333333,0.001391242450313947,0.21779156773809563,1000.0
'11001110',0,0.0029999999999999996,0.00028284271247461896,0.27684434067415836,1000.0
'10110000',0,0.0018333333333333333,0.00040276819911981896,0.2701307479566855,1000.0
'11010111',0,0.0005,0.0002943920288775949,0.2981297231278964,1000.0
'11101010',0,0.004533333333333334,0.0011264496832477202,0.2777343061096567,1000.0
'11001010',0,0.005166666666666667,0.00012472191289246464,0.2580764001928673,1000.0
'01010010',0,0.006633333333333334,0.000946337971105226,0.27007936368525226,1000.0
'01101100',0,0.0159,0.0012027745701779142,0.2590603295728833,1000.0
'00000111',0,0.007166666666666666,0.00041899350299921784,0.2592011019070859,1000.0
'01110100',0,0.022366666666666663,0.00020548046676563132,0.2392386814232802,1000.0
'11000010',0,0.0056,0.00032659863237109054,0.27004286707562275,1000.0
'01000111',0,0.006833333333333334,0.0005436502143433363,0.24413916057418816,1000.0
'01000011',0,0.003966666666666667,0.00012472191289246486,0.2605151253170637,1000.0
