states,flag,Avg0,SD0,frust0,time
'01101',1,0.1318666666666667,0.0023976840677805912,0.1474872618988051,5.250442050574271
'00011',1,0.12106666666666667,0.0031710495984067443,0.11421811488057579,5.0142589026411795
'01010',1,0.08513333333333334,0.0011785113019775802,0.1865821550405412,5.252700016217408
'10010',1,0.1353,0.004581120678029189,0.1474872618988051,5.295327931520586
'10011',1,0.0578,0.002471167065713417,0.15781389003500815,2.5298068228155657
'11001',1,0.10149999999999999,0.0015748015748023646,0.131122821497454,3.7817526277098783
'00110',1,0.10289999999999999,0.0018991226044325462,0.131122821497454,3.786698491792906
'10101',1,0.08583333333333333,0.000555777733351101,0.1865821550405412,5.188030788346143
'11100',1,0.12543333333333334,0.0016659998666133087,0.11421811488057579,4.809323160483486
'01100',1,0.05316666666666667,0.0011813363431112927,0.15781389003500815,2.4996056527555446
