states,flag,Avg0,SD0,frust0,time
1_1_1_0_0,1,0.12292333333333333,0.000510707570163413,0.1324458596593591,11.759435845273991
0_1_0_0_1,1,0.24090333333333333,0.0010068542871515978,0.12438141949609867,12.08097704116363
1_0_1_1_0,1,0.24217333333333335,0.0005468901982015093,0.12438141949609867,12.097299620063993
0_0_0_1_1,1,0.12219999999999999,0.0004411349000022602,0.1324458596593591,11.739039216543793
1_1_0_1_0,1,0.1352266666666667,0.000228958996814325,0.13854032534626964,10.309258307071673
0_0_1_0_1,1,0.13657333333333332,0.001301187491827704,0.13854032534626964,10.321415954444511
