states,flag,Avg0,SD0,frust0,time
0_1_1_0_1,1,0.07033,0.0013603675973794728,0.15377435709492232,10.06447562937324
1_1_0_0_0,1,0.11485666666666666,0.0013415496843410448,0.1110742552326351,10.647878832524606
1_1_1_0_0,1,0.11813,0.0008449063064427149,0.16057919638130075,10.226715237251575
0_1_0_0_1,1,0.103,0.0007782030583337483,0.15213285165894078,10.182995892866744
0_0_1_0_1,1,0.09536333333333334,0.001176161364590567,0.15234673022046952,10.251185437145056
0_0_0_1_1,1,0.11799333333333333,0.0002174600857373367,0.16057919638130075,10.20237665047213
0_0_1_1_1,1,0.11322333333333334,0.0007519012937584027,0.1110742552326351,10.653644923692035
1_1_0_1_0,1,0.09427333333333332,0.00015107025591499273,0.15234673022046952,10.250057728909063
1_0_0_1_0,1,0.06979,0.00042497058721751473,0.15377435709492232,10.062382784495616
1_0_1_1_0,1,0.10304,0.001211638009748235,0.15213285165894078,10.198498505168816
